,,,,LUNI,,,,,,,MARTI,,,,,,,MIERCURI,,,,,,,JOI,,,,,,,VINERI,,,,,,,SÂMBATA,,,,,,,
Anul,Spec.,Grupa,Sgr.,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,Engleza-C-PIII1- Schwab_A,,,,,,,,,Engleza-S-PP1- Schwab_A,LMC-S-PII1- Majercsik_L,AF-S-PP5- Popa_I_I,,,,,,,,,,RCSS-C-PI2- Sasu_A,,,,,,,,,,,,,,,,,,,,,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10LF332,A,Germana-C-PIII2- Serbu_C,AM-C-PIII1- Dimitriu_M,FAI-C-PIII1- Manea_A_L,PE-C-PIII2- Beldianu_I,,,,PE-S-PIII2- Stoica_R,,FP-L-PII7- Duca_D_M,Germana-S-PI1- Serbu_C,AF-S-PI1- Baicoianu_A,,,FAI-S-PII2- Manea_A_L,AF-L-PII5- Majercsik_L,AM-S-PP5- Dimitriu_M,,,,,RCSS-C-PI2- Sasu_A,RCSS-L-PII3- Sasu_A,,LMC-C-PIII1- Ciupala_L_A,AF-C-PIII1- Baicoianu_A,FP-C-PIII1- Deaconu_A_M,,LMC-S-PII1- Majercsik_L,,,,,,,,,,,,,,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,Germana-C-PIII2- Serbu_C,,,,,,,,,,Germana-S-PI1- Serbu_C,AF-S-PI1- Baicoianu_A,,,,,,,,,,RCSS-C-PI2- Sasu_A,,,,,,,LMC-S-PII1- Majercsik_L,,,,,,,,,,,,,,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10LF333,A,Germana-C-PIII2- Serbu_C,AM-C-PIII1- Dimitriu_M,FAI-C-PIII1- Manea_A_L,PE-C-PIII2- Beldianu_I,,,,PE-S-PIII2- Stoica_R,Germana-S-PP1- Serbu_C,RCSS-L-PII3- Sasu_A,FP-L-PII7- Duca_D_M,,,,AM-S-PII1- Dimitriu_M,FAI-S-PII2- Manea_A_L,AF-L-PII5- Majercsik_L,,,,,RCSS-C-PI2- Sasu_A,,,LMC-C-PIII1- Ciupala_L_A,AF-C-PIII1- Baicoianu_A,FP-C-PIII1- Deaconu_A_M,,,,,,,,,,,,,,,,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,,,,,AF-S-PI1- Baicoianu_A,,,,,,,,,,,,,,,,,LMC-S-PII1- Majercsik_L,,,,,,,,,,,,,,
,,,B,Germana-C-PIII2- Serbu_C,,,,,,,,Germana-S-PP1- Serbu_C,,,,,,,,,,,,,RCSS-C-PI2- Sasu_A,,,,,,,,,,,,,,,,,,,,,
,,,,AM-C-PIII1- Dimitriu_M,,,,,,,,,,,AF-S-PI1- Baicoianu_A,,,,,,,,,,,,,,,,,LMC-S-PII1- Majercsik_L,,,,,,,,,,,,,,
1.0,IAG,10LF431,A,Engleza-C-PIII1- Schwab_A,,AM-C-PIII2- Chirila_A,PE-C-PIII2- Beldianu_I,,,,,,Birotica-C-PIII2- Enache-David_N,AF-C-PIII2- Ciupala_L_A,TSI-C-PIII2- Carstea_C_G,TSI-L-PII3- Carstea_C_G,,PJ-L-PII6- Nanau_C_S,PJ-L-PII6- Nanau_C_S,AF-L-PII7- Ciupala_L_A,,,,,PE-S-PII1- Stoica_R,Bir-L-PII4- Duca_D_M,AM-S-PII1- Chirila_A,PJ-C-PII1- Sangeorzan_L,,,,,,,,,,,,,,,,,,
,,,,,Engleza-C-PIII2- Schwab_A,,,,,,,,,,,,,,AF-S-PP1- Ciupala_L_A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,Engleza-C-PIII1- Schwab_A,,,,,,,,,,,,TSI-L-PII3- Carstea_C_G,,,PJ-L-PII6- Nanau_C_S,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Engleza-C-PIII2- Schwab_A,,,,,,,,,,,,,,AF-S-PP1- Ciupala_L_A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10LF432,A,Engleza-C-PIII1- Schwab_A,,AM-C-PIII2- Chirila_A,PE-C-PIII2- Beldianu_I,,,,,,Birotica-C-PIII2- Enache-David_N,AF-C-PIII2- Ciupala_L_A,TSI-C-PIII2- Carstea_C_G,,,,AF-S-PP1- Ciupala_L_A,PJ-L-PII6- Nanau_C_S,AF-L-PII7- Ciupala_L_A,,,,PE-S-PII1- Stoica_R,AM-S-PII1- Chirila_A,Bir-L-PII4- Duca_D_M,PJ-C-PII1- Sangeorzan_L,,,,,,,,,,,,,,,,,,
,,,,,Engleza-C-PIII2- Schwab_A,,,,,,,,,,,TSI-L-PII3- Carstea_C_G,,,PJ-L-PII6- Nanau_C_S,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,Engleza-C-PIII1- Schwab_A,,,,,,,,,,,,,,,AF-S-PP1- Ciupala_L_A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Engleza-C-PIII2- Schwab_A,,,,,,,,,,,TSI-L-PII3- Carstea_C_G,,,PJ-L-PII6- Nanau_C_S,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LUNI,,,,,,,MARTI,,,,,,,MIERCURI,,,,,,,JOI,,,,,,,VINERI,,,,,,,SÂMBATA,,,,,,,
Anul,Spec.,Grupa,Sgr.,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,
2.0,MI,10LF121,A,ED-C-PI1- Marin_M,ED-S-PI1- Marin_M,,PSE-C-PII2- Turculet_A_R,PSE-S-PIII2- Lazar_C_M,,,,,,,,,,AC-C-PP6- Raducanu_D,AC-S-PP6- Raducanu_D,,,,,,,LTM-C-PP6- Savin_D,LTM-S-PP6- Savin_D,GD-C-PP6- Aldea_C_N,GD-S-PP6- Aldea_C_N,,,,PJ-C-PII2- Nanau_C_S,PJ-L-PII6- Nanau_C_S,,,EdFiz2-S-SCol 1- Tohanean_D_I,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,I,10LF221,A,LFC-S-PII1- Nistor-Serban_A,,,PSE-C-PII2- Turculet_A_R,PSE-S-PIII2- Lazar_C_M,MIP-C-PII2- Dumitrescu_S_R,,,,,,,,,,,MC-C-PII2- Baicoianu_A,LFC-C-PIII1- Baicoianu_A,BD-C-PIII1- Aldea_C_L,AG-C-PIII1- Deaconu_A_M,,IA-C-PIII2- Sasu_L_M,IA-L-PII5- Nutu_M,,,,,,BD-L-PII4- Nistor-Serban_A,MIP-L-PII4- Ritan_L,MC-L-PII4- Popa_I,AG-L-PII4- Spridon_D_E,,EdFiz2-S-SCol 1- Tohanean_D_I,,,,,,,,,
,,,,LFC-L-PP5- Plajer_I_C,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,LFC-S-PII1- Nistor-Serban_A,,,,,,,,,,,,,,,,,LFC-C-PIII1- Baicoianu_A,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LFC-L-PP5- Plajer_I_C,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,,,,,,,,,,,,,,,,,,,,
,,10LF222,A,LFC-L-PP5- Plajer_I_C,MIP-L-PII6- Ritan_L,,PSE-C-PII2- Turculet_A_R,PSE-S-PIII2- Lazar_C_M,MIP-C-PII2- Dumitrescu_S_R,,BD-L-PII6- Nistor-Serban_A,IA-L-PII6- Nutu_M,,,,,,,,MC-C-PII2- Baicoianu_A,LFC-C-PIII1- Baicoianu_A,BD-C-PIII1- Aldea_C_L,AG-C-PIII1- Deaconu_A_M,,IA-C-PIII2- Sasu_L_M,,,,,,,AG-L-PII6- Ritan_L,MC-L-PII6- Popa_I,,,,EdFiz2-S-SCol 1- Tohanean_D_I,,,,,,,,,
,,,,LFC-S-PII1- Nistor-Serban_A,,,,,,,,,,,,,,,,,LFC-C-PIII1- Plajer_I_C,,,,,,,,,,,,,,,,,,,,,,,,,
